dm,gdr,smk,age,sbp,chl,refv,AFR_D,AFR_E,AMR_A,AMR_B,AMR_D,EMR_B,EMR_D,EUR_A,EUR_B,EUR_C,SEAR_B,SEAR_D,WPR_B,WPR_A
1,0,1,50,160,7,500111607,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,1,50,160,8,500111608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,50,180,4,500111804,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,1,50,180,5,500111805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,50,180,6,500111806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,50,180,7,500111807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,50,180,8,500111808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,60,120,4,600111204,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,0,1,60,120,5,600111205,10% to <20%,<10%,<10%,<10%,<10%,20% to <30%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
1,0,1,60,120,6,600111206,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,20% to <30%,20% to <30%,<10%,10% to <20%,<10%,20% to <30%,30% to <40%,10% to <20%,<10%
1,0,1,60,120,7,600111207,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,30% to <40%,<10%,10% to <20%,10% to <20%,30% to <40%,>=40%,10% to <20%,10% to <20%
1,0,1,60,120,8,600111208,30% to <40%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,>=40%,>=40%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,10% to <20%
1,0,1,60,140,4,600111404,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,30% to <40%,10% to <20%,<10%
1,0,1,60,140,5,600111405,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,20% to <30%,<10%,10% to <20%,10% to <20%,20% to <30%,>=40%,10% to <20%,10% to <20%
1,0,1,60,140,6,600111406,20% to <30%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,>=40%,30% to <40%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,>=40%,20% to <30%,10% to <20%
1,0,1,60,140,7,600111407,30% to <40%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,>=40%,>=40%,10% to <20%,20% to <30%,20% to <30%,>=40%,>=40%,20% to <30%,10% to <20%
1,0,1,60,140,8,600111408,30% to <40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,20% to <30%
1,0,1,60,160,4,600111604,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,>=40%,30% to <40%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,>=40%,20% to <30%,10% to <20%
1,0,1,60,160,5,600111605,30% to <40%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,>=40%,>=40%,10% to <20%,20% to <30%,20% to <30%,>=40%,>=40%,30% to <40%,20% to <30%
1,0,1,60,160,6,600111606,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,30% to <40%,20% to <30%,>=40%,>=40%,>=40%,20% to <30%
1,0,1,60,160,7,600111607,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,1,60,160,8,600111608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,60,180,4,600111804,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,60,180,5,600111805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,60,180,6,600111806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,60,180,7,600111807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,60,180,8,600111808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,120,4,700111204,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,0,1,70,120,5,700111205,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
1,0,1,70,120,6,700111206,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,>=40%,20% to <30%,10% to <20%
1,0,1,70,120,7,700111207,20% to <30%,10% to <20%,30% to <40%,20% to <30%,30% to <40%,>=40%,>=40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%
1,0,1,70,120,8,700111208,30% to <40%,30% to <40%,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,>=40%,20% to <30%,20% to <30%
1,0,1,70,140,4,700111404,20% to <30%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,>=40%,20% to <30%,10% to <20%
1,0,1,70,140,5,700111405,20% to <30%,20% to <30%,30% to <40%,20% to <30%,30% to <40%,>=40%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,>=40%,20% to <30%,20% to <30%
1,0,1,70,140,6,700111406,30% to <40%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,>=40%,30% to <40%,20% to <30%
1,0,1,70,140,7,700111407,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,1,70,140,8,700111408,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,160,4,700111604,30% to <40%,20% to <30%,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%,20% to <30%,30% to <40%,30% to <40%,>=40%,30% to <40%,20% to <30%
1,0,1,70,160,5,700111605,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,1,70,160,6,700111606,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,160,7,700111607,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,160,8,700111608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,180,4,700111804,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,180,5,700111805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,180,6,700111806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,180,7,700111807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,1,70,180,8,700111808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,40,120,4,400101204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,40,120,5,400101205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,40,120,6,400101206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,40,120,7,400101207,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,40,120,8,400101208,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,20% to <30%,20% to <30%,<10%,<10%
1,0,0,40,140,4,400101404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,40,140,5,400101405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,40,140,6,400101406,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%
1,0,0,40,140,7,400101407,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,20% to <30%,10% to <20%,<10%,<10%
1,0,0,40,140,8,400101408,20% to <30%,10% to <20%,30% to <40%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,<10%,20% to <30%,10% to <20%,20% to <30%,>=40%,20% to <30%,10% to <20%
1,0,0,40,160,4,400101604,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,40,160,5,400101605,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
1,0,0,40,160,6,400101606,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,<10%,30% to <40%,20% to <30%,10% to <20%,<10%
1,0,0,40,160,7,400101607,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,<10%,20% to <30%,10% to <20%,>=40%,>=40%,20% to <30%,10% to <20%
1,0,0,40,160,8,400101608,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,30% to <40%,10% to <20%,>=40%,20% to <30%,>=40%,>=40%,>=40%,30% to <40%
1,0,0,40,180,4,400101804,10% to <20%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,10% to <20%,20% to <30%,<10%,20% to <30%,10% to <20%,30% to <40%,30% to <40%,20% to <30%,10% to <20%
1,0,0,40,180,5,400101805,20% to <30%,30% to <40%,30% to <40%,>=40%,30% to <40%,20% to <30%,30% to <40%,10% to <20%,30% to <40%,20% to <30%,>=40%,>=40%,>=40%,20% to <30%
1,0,0,40,180,6,400101806,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,10% to <20%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,0,40,180,7,400101807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,40,180,8,400101808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,50,120,4,500101204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,50,120,5,500101205,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,50,120,6,500101206,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,50,120,7,500101207,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
1,0,0,50,120,8,500101208,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,<10%,20% to <30%,20% to <30%,<10%,<10%
1,0,0,50,140,4,500101404,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,50,140,5,500101405,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,50,140,6,500101406,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
1,0,0,50,140,7,500101407,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,20% to <30%,20% to <30%,10% to <20%,<10%
1,0,0,50,140,8,500101408,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,>=40%,20% to <30%,10% to <20%
1,0,0,50,160,4,500101604,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%
1,0,0,50,160,5,500101605,<10%,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,<10%,10% to <20%,20% to <30%,10% to <20%,<10%
1,0,0,50,160,6,500101606,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,<10%,10% to <20%,10% to <20%,30% to <40%,30% to <40%,10% to <20%,10% to <20%
1,0,0,50,160,7,500101607,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,10% to <20%,>=40%,>=40%,20% to <30%,10% to <20%
1,0,0,50,160,8,500101608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,0,50,180,4,500101804,20% to <30%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,20% to <30%
1,0,0,50,180,5,500101805,30% to <40%,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,>=40%,10% to <20%,30% to <40%,20% to <30%,>=40%,>=40%,>=40%,20% to <30%
1,0,0,50,180,6,500101806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,20% to <30%,>=40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,0,50,180,7,500101807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,50,180,8,500101808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,60,120,4,600101204,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%,<10%
1,0,0,60,120,5,600101205,<10%,<10%,10% to <20%,<10%,<10%,<10%,10% to <20%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,0,0,60,120,6,600101206,<10%,<10%,10% to <20%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,10% to <20%,<10%,10% to <20%,<10%,<10%
1,0,0,60,120,7,600101207,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,<10%
1,0,0,60,120,8,600101208,20% to <30%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,30% to <40%,30% to <40%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,30% to <40%,10% to <20%,10% to <20%
1,0,0,60,140,4,600101404,<10%,<10%,10% to <20%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,10% to <20%,<10%,10% to <20%,10% to <20%,<10%
1,0,0,60,140,5,600101405,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,<10%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,0,0,60,140,6,600101406,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,30% to <40%,10% to <20%,10% to <20%
1,0,0,60,140,7,600101407,20% to <30%,20% to <30%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,>=40%,20% to <30%,10% to <20%
1,0,0,60,140,8,600101408,30% to <40%,20% to <30%,>=40%,30% to <40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,30% to <40%,30% to <40%,>=40%,30% to <40%,20% to <30%
1,0,0,60,160,4,600101604,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,20% to <30%,20% to <30%,10% to <20%
1,0,0,60,160,5,600101605,20% to <30%,10% to <20%,30% to <40%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,30% to <40%,20% to <30%,20% to <30%
1,0,0,60,160,6,600101606,20% to <30%,20% to <30%,>=40%,30% to <40%,20% to <30%,>=40%,>=40%,20% to <30%,20% to <30%,30% to <40%,30% to <40%,>=40%,30% to <40%,20% to <30%
1,0,0,60,160,7,600101607,30% to <40%,30% to <40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,20% to <30%,30% to <40%,30% to <40%,>=40%,>=40%,>=40%,30% to <40%
1,0,0,60,160,8,600101608,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,60,180,4,600101804,>=40%,30% to <40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,20% to <30%,>=40%,>=40%,30% to <40%,>=40%,>=40%,30% to <40%
1,0,0,60,180,5,600101805,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,30% to <40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,60,180,6,600101806,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,60,180,7,600101807,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,60,180,8,600101808,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%,>=40%
1,0,0,70,120,4,700101204,<10%,<10%,10% to <20%,<10%,<10%,10% to <20%,10% to <20%,<10%,<10%,<10%,<10%,10% to <20%,<10%,<10%
1,0,0,70,120,5,700101205,10% to <20%,<10%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,<10%,<10%,<10%,10% to <20%,20% to <30%,<10%,<10%
1,0,0,70,120,6,700101206,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,0,0,70,120,7,700101207,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,30% to <40%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,30% to <40%,10% to <20%,10% to <20%
1,0,0,70,120,8,700101208,20% to <30%,20% to <30%,20% to <30%,20% to <30%,10% to <20%,>=40%,30% to <40%,10% to <20%,20% to <30%,20% to <30%,20% to <30%,>=40%,10% to <20%,10% to <20%
1,0,0,70,140,4,700101404,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%
1,0,0,70,140,5,700101405,10% to <20%,10% to <20%,20% to <30%,10% to <20%,10% to <20%,20% to <30%,20% to <30%,10% to <20%,10% to <20%,10% to <20%,20% to <30%,30% to <40%,10% to <20%,10% to <20%
